Inserção em Massa,0.13 segundos
Consulta_Simples,0.01 segundos
Consulta_Complexa,0.01 segundos
Atualizar,0.01 segundos
Deletar,0.01 segundos
Inserção em Massa,0.14 segundos
Consulta_Simples,0.01 segundos
Consulta_Complexa,0.01 segundos
Atualizar,0.02 segundos
Deletar,0.01 segundos
